,Brand,Model,Price,Seller
0,Gree,Comfort VERSATI III 8,"449993,00",Energynet
1,Bergen,Comfort INVICTUS MHP 8,"449993,00",Energynet
2,Bergen,Comfort INVICTUS SHP 6,"519993,00",Energynet
3,Gree,Comfort VERSATI III 6,"519993,00",Energynet
4,Bergen,Comfort INVICTUS SHP 10,"614993,00",Energynet
5,Bergen,Comfort INVICTUS SHP 10,"614993,00",Energynet
6,Gree,Comfort VERSATI III 10,"614993,00",Energynet
7,Bergen,Comfort INVICTUS MHP 12,"634993,00",Energynet
8,Bergen,Comfort INVICTUS MHP 16,"674993,00",Energynet
9,Bergen,Comfort INVICTUS SHP 16,"769993,00",Energynet
10,Gree,Comfort VERSATI III 16,"769993,00",Energynet
11,Bergen,Comfort INVICTUS SHP W200,"869993,00",Energynet
12,Gree,Comfort VERSATI III 10,"869993,00",Energynet
13,Bergen,Comfort INVICTUS SHP W200,"869993,00",Energynet
14,Gree,Comfort VERSATI III 10,"869993,00",Energynet
15,Bergen,Comfort INVICTUS SHP W200,"979993,00",Energynet
